name,price,link,RAM Kapasitesi,Kamera Çözünürlüğü,Dahili Hafıza,Ön Kamera Çözünürlüğü,İşletim Sistemi,Şarj Hızı
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-col-titanyum-p-857296109,8.0,20.0,256.0,12.0,1,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Galaxy A24 128 GB,11.649,https://www.trendyol.com/samsung/galaxy-a24-128-gb-gumus-cep-telefonu-samsung-turkiye-garantili-p-700100965,6.0,17.5,128.0,13.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
A60 8 GB RAM 128 GB Gece,9.749,https://www.trendyol.com/oppo/a60-8-gb-ram-128-gb-gece-moru-cep-telefonu-oppo-turkiye-garantili-p-849749250,8.0,50.0,128.0,8.0,0,50.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Galaxy S24 FE 5g,27.749,https://www.trendyol.com/samsung/galaxy-s24-fe-5g-8-256-gb-akilli-telefon-mavi-p-864687488,8.0,50.0,256.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Galaxy A55 5G 128 GB,17.39,https://www.trendyol.com/samsung/galaxy-a55-5g-128-gb-8-gb-ram-buz-mavisi-samsung-turkiye-garantili-p-820703067,8.0,20.0,128.0,32.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
iPhone 15 128 GB Pembe,52.599,https://www.trendyol.com/apple/iphone-15-128-gb-pembe-p-762254841,6.0,20.0,128.0,12.0,1,15.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
X6 5G 12 GB RAM 512 GB,16.24405,https://www.trendyol.com/poco/x6-5g-12-gb-ram-512-gb-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-844135687,12.0,20.0,512.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
S23 Pro Max 1 TB Siyah,7.3,https://www.trendyol.com/reeder/s23-pro-max-1-tb-siyah-p-830457728,8.0,20.0,1024.0,12.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
Galaxy S24 Plus 256,39.5,https://www.trendyol.com/samsung/galaxy-s24-plus-256-gb-gri-samsung-turkiye-garantili-p-792775334,12.0,7.5,256.0,12.0,0,50.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone 13,50.999,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-128-gb-grafit-a-grade-p-689224359,4.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Red Magic 9s Pro 12 Gb,48.999,https://www.trendyol.com/nubia/red-magic-9s-pro-12-gb-256-gb-siyah-cep-telefonu-redmagic-turkiye-garantili-p-855994803,12.0,50.0,256.0,16.0,0,70.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 FE 128 GB,28.085,https://www.trendyol.com/samsung/galaxy-s24-fe-128-gb-grafit-cep-telefonu-samsung-turkiye-garantili-p-857140576,8.0,50.0,128.0,10.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş iPhone 13,30.999,https://www.trendyol.com/apple/yenilenmis-iphone-13-128-gb-beyaz-p-676512348,7.875,20.0,128.0,12.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Z60 Ultra 16GB+512GB,50.999,https://www.trendyol.com/nubia/z60-ultra-16gb-512gb-p-875681039,7.875,20.0,512.0,12.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
A3 6GB Ram 128 GB Siyah,9.999,https://www.trendyol.com/oppo/a3-6gb-ram-128-gb-siyah-cep-telefonu-oppo-turkiye-garantili-p-878200291,6.0,50.0,128.0,5.0,0,50.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
12 Lite 6GB+128GB,7.679,https://www.trendyol.com/realme/12-lite-6gb-128gb-uyumlu-akilli-telefon-vaha-gunesi-p-825158309,6.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş Iphone 12 64,21.11397,https://www.trendyol.com/apple/yenilenmis-iphone-12-64-gb-mavi-64-gb-mavi-b-grade-p-689225101,4.0,20.0,64.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş Iphone 13,55.099,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-max-128-gb-grafit-128-gb-grafit-a-grade-p-689225096,4.0,20.0,128.0,12.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
VIA X40 256 Gb 8 Gb,9.599,https://www.trendyol.com/casper/via-x40-256-gb-8-gb-ram-gece-mavisi-amoled-ekran-p-806447025,8.0,20.0,256.0,20.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş Iphone 12,33.099,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-256-gb-pasifik-mavisi-b-grade-p-689227256,4.0,20.0,256.0,12.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
ERA 30 8GB,6.29,https://www.trendyol.com/general-mobile/era-30-8gb-4gb-4gb-genisletilmis-ram-128gb-hafiza-cift-sim-kart-p-848806871,4.0,50.0,128.0,8.0,0,15.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
S23 Pro Max 256 Gb,5.199,https://www.trendyol.com/reeder/s23-pro-max-256-gb-beyaz-cep-telefonu-turkiye-garantili-p-771164620,8.0,20.0,256.0,20.0,0,15.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone 14,65.91897,https://www.trendyol.com/apple/yenilenmis-iphone-14-pro-max-256-gb-gumus-cep-telefonu-12-ay-garantili-a-kalite-p-846785170,6.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 128 GB Gri,32.2,https://www.trendyol.com/samsung/galaxy-s24-128-gb-gri-cep-telefonu-samsung-turkiye-garantili-p-792043223,8.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Galaxy S23 FE 256 GB,24.88,https://www.trendyol.com/samsung/galaxy-s23-fe-256-gb-gri-samsung-turkiye-garantili-p-767487800,8.0,20.0,256.0,8.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
iPhone 16 Plus 128GB,67.599,https://www.trendyol.com/apple/iphone-16-plus-128gb-beyaz-p-857296117,8.0,20.0,128.0,12.0,1,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
Galaxy Z Flip5 256 GB,46.76945,https://www.trendyol.com/samsung/galaxy-z-flip5-256-gb-mor-samsung-turkiye-garantili-p-745785543,8.0,12.5,256.0,5.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
iPhone 15 128 GB Mavi,53.799,https://www.trendyol.com/apple/iphone-15-128-gb-mavi-p-762254881,6.0,20.0,128.0,12.0,1,15.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
VIA A40 256 GB 8 GB,7.599,https://www.trendyol.com/casper/via-a40-256-gb-8-gb-ram-gece-mavisi-p-789060483,8.0,20.0,256.0,13.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
GENERAL MOBİLE,8.75,https://www.trendyol.com/general-mobile/general-mobile-era-50-12gb-6gb-6gb-genisletilmis-ram-256gb-128-gb-hafiza-cift-sim-kart-p-848803808,6.0,50.0,256.0,32.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
Redmi Note 12 Pro 256,13.85,https://www.trendyol.com/xiaomi/redmi-note-12-pro-256-gb-8-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-685539438,8.0,20.0,256.0,16.0,0,70.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Pura 70 12 GB RAM 256,34.54159,https://www.trendyol.com/huawei/pura-70-12-gb-ram-256-gb-siyah-p-834192205,12.0,20.0,256.0,13.0,0,70.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
12Pro 8GB+256GB Akıllı,16.76899,https://www.trendyol.com/realme/12pro-8gb-256gb-akilli-telefon-denizci-mavisi-p-848512738,8.0,50.0,256.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone 14,57.499,https://www.trendyol.com/apple/yenilenmis-iphone-14-pro-128-gb-mor-a-kalite-p-877554996,6.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
11 8GB+128GB Parlak,8.899,https://www.trendyol.com/realme/11-8gb-128gb-parlak-siyah-p-825157759,8.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
C53 4gb 128gb Siyah,6.1,https://www.trendyol.com/realme/c53-4gb-128gb-siyah-cep-telefonu-turkiye-garantili-p-744329842,4.0,7.5,128.0,8.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 128 GB Mor,32.8,https://www.trendyol.com/samsung/galaxy-s24-128-gb-mor-cep-telefonu-samsung-turkiye-garantili-p-792043220,8.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Mi 11 Ultra 12gb ram,44.999,https://www.trendyol.com/xiaomi/mi-11-ultra-12gb-ram-256-gb-xiaomi-turkiye-garantili-p-783926199,12.0,20.0,256.0,12.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
Yenilenmiş Samsung,7.499,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-a52-128-gb-siyah-cep-telefonu-c-kalite-p-829210020,512.0,20.0,32.0,12.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Mİ 13 Ultra 16GB RAM,54.999,https://www.trendyol.com/xiaomi/mi-13-ultra-16gb-ram-512-gb-hafiza-akilli-cep-telefonu-turkiye-garantili-p-844887107,16.0,50.0,512.0,32.0,0,90.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-siyah-titanyum-p-857296077,8.0,20.0,256.0,12.0,1,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
iPhone 14 128 GB Mavi,44.599,https://www.trendyol.com/apple/iphone-14-128-gb-mavi-p-355707135,6.0,20.0,128.0,12.0,1,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
SPARK 20 Pro 256 GB  /,10.899,https://www.trendyol.com/tecno/spark-20-pro-256-gb-12-gb-ram-cep-telefonu-tecno-turkiye-garantili-p-815118071,12.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone 11,20.80497,https://www.trendyol.com/apple/yenilenmis-iphone-11-pro-64-gb-uzay-grisi-cep-telefonu-12-ay-garantili-b-kalite-p-658050570,7.875,20.0,64.0,12.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
Galaxy A06 128GB,6.949,https://www.trendyol.com/samsung/galaxy-a06-128gb-altin-cep-telefonu-samsung-turkiye-garantili-p-857140575,4.0,50.0,128.0,8.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
F6 Pro 12 GB RAM 512 GB,33.999,https://www.trendyol.com/poco/f6-pro-12-gb-ram-512-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-829994411,12.0,20.0,512.0,16.0,0,110.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Cep Telefonu C53,7.399,https://www.trendyol.com/realme/cep-telefonu-c53-8-256gb-relame-turkiye-garantili-p-834894059,8.0,20.0,256.0,5.0,0,30.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Iphone 14 Pro Max 128,99.999,https://www.trendyol.com/apple/iphone-14-pro-max-128-gb-siyah-cep-telefonu-p-355644228,6.0,20.0,128.0,12.0,1,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Galaxy A15 6 GB RAM,9.499,https://www.trendyol.com/samsung/galaxy-a15-6-gb-ram-128-gb-mavi-samsung-turkiye-garantili-p-793616426,6.0,50.0,128.0,10.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
C55 256 Gb 8 Gb Ram,8.899,https://www.trendyol.com/realme/c55-256-gb-8-gb-ram-altin-turkiye-garantili-p-720969076,8.0,20.0,256.0,20.0,0,15.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
C55 6gb / 128gb Raıny,7.719,https://www.trendyol.com/realme/c55-6gb-128gb-rainy-night-p-729574343,6.0,20.0,128.0,12.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Yenilenmiş iPhone 12,35.22497,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-max-128gb-gumus-b-kalite-p-784822256,6.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Pura 70 Ultra 16 GB,64.49899,https://www.trendyol.com/huawei/pura-70-ultra-16-gb-ram-512-gb-yesil-p-834192206,16.0,20.0,512.0,13.0,0,90.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş iPhone 13,29.999,https://www.trendyol.com/apple/yenilenmis-iphone-13-mini-128-gb-pembe-a-grade-p-689224379,4.0,20.0,128.0,12.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
iPhone 14 256 GB Yıldız,48.799,https://www.trendyol.com/apple/iphone-14-256-gb-yildiz-isigi-cep-telefonu-p-355707120,6.0,20.0,256.0,12.0,1,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş Galaxy,2.699,https://www.trendyol.com/samsung/yenilenmis-galaxy-a02s-32-gb-siyah-cep-telefonu-p-360726705,7.875,20.0,32.0,12.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
YENİLENMİŞ SAMSUNG,22.099,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-s21-ultra-siyah-128gb-p-757346747,12.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
GM Phoneix 5G,15.071,https://www.trendyol.com/general-mobile/gm-phoneix-5g-dual-carbon-black-16gb-8gb-genisletilmis-ram-256gb-cep-telefonu-p-752381513,16.0,50.0,256.0,16.0,0,70.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş Iphone 13,53.999,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-max-256-gb-sierra-mavisi-a-grade-p-689224113,4.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 FE 128 GB,28.024,https://www.trendyol.com/samsung/galaxy-s24-fe-128-gb-gri-cep-telefonu-samsung-turkiye-garantili-p-857140578,8.0,50.0,128.0,10.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş iPhone 8 64,5.14897,https://www.trendyol.com/apple/yenilenmis-iphone-8-64-gb-altin-cep-telefonu-12-ay-garantili-b-kalite-p-741552832,2.0,20.0,64.0,12.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Yenilenmiş iPhone 8,6.49097,https://www.trendyol.com/apple/yenilenmis-iphone-8-plus-64-gb-siyah-cep-telefonu-12-ay-garantili-b-kalite-p-367790640,7.875,20.0,64.0,12.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
iPhone 12 256 GB,30.899,https://www.trendyol.com/apple/iphone-12-256-gb-kirmizi-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-66145458,4.0,12.5,256.0,8.0,1,15.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Yenilenmiş Iphone 11,22.14397,https://www.trendyol.com/apple/yenilenmis-iphone-11-pro-max-64-gb-gumus-64-gb-gumus-b-grade-p-689227582,4.0,20.0,64.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Note 60 4gb+128gb,6.099,https://www.trendyol.com/realme/note-60-4gb-128gb-mermer-siyahi-p-863648008,4.0,20.0,128.0,5.0,0,15.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
Hot 30 X6831 256 GB 8,6.549,https://www.trendyol.com/infinix/hot-30-x6831-256-gb-8-gb-ram-cep-telefonu-p-739658793,8.0,50.0,256.0,12.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone 11,26.219,https://www.trendyol.com/apple/yenilenmis-iphone-11-pro-max-256gb-uzay-grisi-b-kalite-p-770380010,4.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Yenilenmiş iPhone Xs 64,14.389,https://www.trendyol.com/apple/yenilenmis-iphone-xs-64-gb-gumus-cep-telefonu-12-ay-garantili-b-kalite-p-653345706,4.0,20.0,64.0,12.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
S23 Pro Max 256 GB,4.877,https://www.trendyol.com/reeder/s23-pro-max-256-gb-gold-cep-telefonu-reeder-turkiye-garantili-p-788708201,8.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
CAMON 20 Pro 256 GB / 8,9.749,https://www.trendyol.com/tecno/camon-20-pro-256-gb-8-gb-ram-beyaz-tecno-turkiye-garantili-p-779256247,8.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
İphone 13 128 Gb Mavi,39.031,https://www.trendyol.com/apple/iphone-13-128-gb-mavi-mlpk3tu-a-p-150059501,4.0,20.0,128.0,12.0,1,15.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş iPhone 8,6.59097,https://www.trendyol.com/apple/yenilenmis-iphone-8-plus-64-gb-gold-12-ay-garantili-b-grade-p-326256779,3.0,20.0,64.0,12.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Smart 9 Cep Telefonu,4.999,https://www.trendyol.com/infinix/smart-9-cep-telefonu-128-gb-4-gb-ram-titanyum-turkiye-garantili-p-880183376,4.0,20.0,128.0,8.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
C65 6gb 128gb Siyah (,7.3847,https://www.trendyol.com/realme/c65-6gb-128gb-siyah-turkiye-garantili-p-843774321,6.0,50.0,128.0,8.0,0,50.0
